setup,antenna_pair,W2,accuracy,mean_error
r2_to_r2,ant12,40,0.9361106248906004,0.06388937510939963
mixed,ant13,40,0.9026813271604939,0.09731867283950613
r1_to_r2,ant13,40,0.5053387012077718,0.4946612987922282
r2_to_r1,ant13,40,0.37447911373107023,0.6255208862689298
r1_to_r1,ant13,40,0.9130501067181624,0.08694989328183755
r2_to_r2,ant13,40,0.9452126728513915,0.054787327148608456
mixed,ant23,40,0.90625,0.09375
r1_to_r2,ant23,40,0.4608786977069841,0.5391213022930159
r2_to_r1,ant23,40,0.33710234779957315,0.6628976522004268
r1_to_r1,ant23,40,0.9182843784937493,0.08171562150625067
r2_to_r2,ant23,40,0.9363731839663925,0.06362681603360754
mixed,ant01,50,0.9442419942597311,0.0557580057402689
r1_to_r2,ant01,50,0.5089583699279817,0.4910416300720183
r2_to_r1,ant01,50,0.4447841818274474,0.5552158181725526
r1_to_r1,ant01,50,0.9447587015237222,0.05524129847627779
r2_to_r2,ant01,50,0.9689091867205339,0.031090813279466056
mixed,ant02,50,0.9437582637298849,0.056241736270115084
r1_to_r2,ant02,50,0.4715879149833128,0.5284120850166871
r2_to_r1,ant02,50,0.5028283137134995,0.49717168628650055
r1_to_r1,ant02,50,0.9536768078275493,0.04632319217245073
r2_to_r2,ant02,50,0.9648691375373265,0.035130862462673496
mixed,ant03,50,0.9378567512657615,0.06214324873423849
r1_to_r2,ant03,50,0.4382575092218514,0.5617424907781485
r2_to_r1,ant03,50,0.42088365693319063,0.5791163430668094
r1_to_r1,ant03,50,0.9479182591856495,0.05208174081435046
r2_to_r2,ant03,50,0.9642543474442298,0.035745652555770224
mixed,ant12,50,0.933632171305105,0.06636782869489499
r1_to_r2,ant12,50,0.4095819427366942,0.5904180572633058
r2_to_r1,ant12,50,0.3935687713397544,0.6064312286602456
r1_to_r1,ant12,50,0.9428221984406054,0.05717780155939456
r2_to_r2,ant12,50,0.9581942736694186,0.04180572633058144
mixed,ant13,50,0.9324067206294947,0.0675932793705053
r1_to_r2,ant13,50,0.5091779378183734,0.4908220621816266
r2_to_r1,ant13,50,0.37249656015899707,0.6275034398410029
r1_to_r1,ant13,50,0.9374713346583091,0.06252866534169088
r2_to_r2,ant13,50,0.9664500263481468,0.03354997365185319
mixed,ant23,50,0.9341481505369409,0.06585184946305911
r1_to_r2,ant23,50,0.4505533110837871,0.5494466889162128
r2_to_r1,ant23,50,0.32637721041634815,0.6736227895836518
r1_to_r1,ant23,50,0.9429750802629567,0.05702491973704327
r2_to_r2,ant23,50,0.9567890391709116,0.043210960829088374
